Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
5.9,14.6771,15,15.1358,2,20.8665,0,0
5.95,14.682,15,15.1358,2,20.6383,0,0
6,14.6865,15,15.1358,2,20.4218,0,0
6.05,14.6908,15,15.1358,2,20.2165,0,0
6.1,14.695,15,15.1358,2,20.0217,0,0
6.15,14.6988,15,15.1358,2,19.837,0,0
6.2,14.7025,15,15.1358,2,19.6617,0,0
6.25,14.706,15,15.1358,2,19.4955,0,0
6.3,14.7094,15,15.1358,2,19.3379,0,0
6.35,14.7125,15,15.1358,2,19.1883,0,0
6.4,14.7155,15,15.1358,2,19.0465,0,0
6.45,14.7183,15,15.1358,2,18.9119,0,0
6.5,14.721,15,15.1358,2,18.7843,0,0
6.55,14.7236,15,15.1358,2,18.6633,0,0
6.6,14.726,15,15.1358,2,18.5485,0,0
6.65,14.7283,15,15.1358,2,18.4395,0,0
6.7,14.7305,15,15.1358,2,18.3362,0,0
6.75,14.7325,15,15.1358,2,18.2383,0,0
6.8,14.7345,15,15.1358,2,18.1453,0,0
6.85,14.7364,15,15.1358,2,18.0572,0,0
6.9,14.7381,15,15.1358,2,17.9735,0,0
6.95,14.7398,15,15.1358,2,17.8942,0,0
7,14.7414,15,15.1358,2,17.819,0,0
7.05,14.7429,15,15.1358,2,17.7476,0,0
7.1,14.7443,15,15.1358,2,17.6799,0,0
7.15,14.7457,15,15.1358,2,17.6157,0,0
7.2,14.7469,15,15.1358,2,17.5548,0,0
7.25,14.7482,15,15.1358,2,17.4971,0,0
7.3,14.7493,15,15.1358,2,17.4423,0,0
7.35,14.7504,15,15.1358,2,17.3903,0,0
7.4,14.7515,15,15.1358,2,17.341,0,0
7.45,14.7568,15,15.2228,3,21.2088,0,0
7.5,14.7619,15,15.2228,3,20.9687,0,0
7.55,14.7667,15,15.2228,3,20.741,0,0
7.6,14.7712,15,15.2228,3,20.525,0,0
7.65,14.7755,15,15.2228,3,20.3201,0,0
7.7,14.7796,15,15.2228,3,20.1258,0,0
7.75,14.7835,15,15.2228,3,19.9415,0,0
7.8,14.7872,15,15.2228,3,19.7666,0,0
7.85,14.7907,15,15.2228,3,19.6008,0,0
7.9,14.794,15,15.2228,3,19.4435,0,0
7.95,14.7971,15,15.2228,3,19.2943,0,0
8,14.8001,15,15.2228,3,19.1528,0,0
8.05,14.803,15,15.2228,3,19.0185,0,0
8.1,14.8056,15,15.2228,3,18.8912,0,0
8.15,14.8082,15,15.2228,3,18.7704,0,0
8.2,14.8106,15,15.2228,3,18.6559,0,0
8.25,14.8129,15,15.2228,3,18.5472,0,0
8.3,14.8151,15,15.2228,3,18.4441,0,0
8.35,14.8171,15,15.2228,3,18.3464,0,0
8.4,14.8191,15,15.2228,3,18.2537,0,0
8.45,14.8209,15,15.2228,3,18.1657,0,0
8.5,14.8227,15,15.2228,3,18.0823,0,0
8.55,14.8244,15,15.2228,3,18.0032,0,0
8.6,14.8259,15,15.2228,3,17.9281,0,0
8.65,14.8274,15,15.2228,3,17.8569,0,0
8.7,14.8289,15,15.2228,3,17.7894,0,0
8.75,14.8302,15,15.2228,3,17.7253,0,0
8.8,14.8315,15,15.2228,3,17.6646,0,0
8.85,14.8327,15,15.2228,3,17.607,0,0
8.9,14.8339,15,15.2228,3,17.5523,0,0
8.95,14.835,15,15.2228,3,17.5005,0,0
9,14.836,15,15.2228,3,17.4513,0,0
9.05,14.837,15,15.2228,3,17.4046,0,0
9.1,14.8379,15,15.2228,3,17.3604,0,0
9.15,14.8388,15,15.2228,3,17.3184,0,0
9.2,14.8396,15,15.2228,3,17.2786,0,0
9.25,14.8404,15,15.2228,3,17.2409,0,0
9.3,14.8412,15,15.2228,3,17.2051,0,0
9.35,14.8419,15,15.2228,3,17.1711,0,0
9.4,14.8426,15,15.2228,3,17.1389,0,0
9.45,14.846,15,15.2779,4,19.5877,0,0
9.5,14.8492,15,15.2779,4,19.4347,0,0
9.55,14.8523,15,15.2779,4,19.2897,0,0
9.6,14.8552,15,15.2779,4,19.1521,0,0
9.65,14.8579,15,15.2779,4,19.0215,0,0
9.7,14.8605,15,15.2779,4,18.8977,0,0
9.75,14.863,15,15.2779,4,18.7803,0,0
9.8,14.8653,15,15.2779,4,18.6689,0,0
9.85,14.8676,15,15.2779,4,18.5633,0,0
9.9,14.8697,15,15.2779,4,18.463,0,0
9.95,14.8717,15,15.2779,4,18.368,0,0
10,14.8736,15,15.2779,4,18.2778,0,0
10.05,14.8754,15,15.2779,4,18.1923,0,0
10.1,14.8771,15,15.2779,4,18.1112,0,0
10.15,14.8787,15,15.2779,4,18.0343,0,0
10.2,14.8803,15,15.2779,4,17.9613,0,0
10.25,14.8817,15,15.2779,4,17.8921,0,0
10.3,14.8831,15,15.2779,4,17.8264,0,0
10.35,14.8844,15,15.2779,4,17.7641,0,0
10.4,14.8857,15,15.2779,4,17.7051,0,0
10.45,14.8868,15,15.2779,4,17.6491,0,0
10.5,14.888,15,15.2779,4,17.5959,0,0
10.55,14.889,15,15.2779,4,17.5455,0,0
10.6,14.89,15,15.2779,4,17.4977,0,0
10.65,14.891,15,15.2779,4,17.4524,0,0
10.7,14.8919,15,15.2779,4,17.4093,0,0
10.75,14.8928,15,15.2779,4,17.3685,0,0
10.8,14.8936,15,15.2779,4,17.3298,0,0
10.85,14.8943,15,15.2779,4,17.2931,0,0
10.9,14.8951,15,15.2779,4,17.2583,0,0
10.95,14.8958,15,15.2779,4,17.2253,0,0
11,14.8964,15,15.2779,4,17.194,0,0
11.05,14.8971,15,15.2779,4,17.1643,0,0
